Data, Hora, Visitantes
23/10/2018 , 19:39:57 , 2
23/10/2018 , 19:39:57 , 2
23/10/2018 , 19:40:07 , 3
23/10/2018 , 19:40:07 , 3
23/10/2018 , 19:40:17 , 2
23/10/2018 , 19:40:17 , 2
23/10/2018 , 19:40:27 , 3
23/10/2018 , 19:40:27 , 3
23/10/2018 , 19:40:37 , 2
23/10/2018 , 19:40:37 , 2
23/10/2018 , 19:40:47 , 2
23/10/2018 , 19:40:47 , 2
23/10/2018 , 19:40:57 , 3
23/10/2018 , 19:40:57 , 3
23/10/2018 , 19:41:07 , 3
23/10/2018 , 19:41:07 , 3
23/10/2018 , 19:41:17 , 2
23/10/2018 , 19:41:17 , 2
23/10/2018 , 19:41:27 , 2
23/10/2018 , 19:41:27 , 2
23/10/2018 , 19:41:37 , 3
23/10/2018 , 19:41:37 , 3
23/10/2018 , 19:41:47 , 4
23/10/2018 , 19:41:47 , 4
23/10/2018 , 19:41:57 , 2
23/10/2018 , 19:41:57 , 2
23/10/2018 , 19:42:07 , 2
23/10/2018 , 19:42:07 , 2
23/10/2018 , 19:42:17 , 2
23/10/2018 , 19:42:17 , 2
23/10/2018 , 19:42:27 , 1
23/10/2018 , 19:42:27 , 1
23/10/2018 , 19:42:37 , 2
23/10/2018 , 19:42:37 , 2
23/10/2018 , 19:42:47 , 3
23/10/2018 , 19:42:47 , 3
23/10/2018 , 19:42:57 , 4
23/10/2018 , 19:42:57 , 4
23/10/2018 , 19:43:07 , 4
23/10/2018 , 19:43:07 , 4
23/10/2018 , 19:43:17 , 3
23/10/2018 , 19:43:17 , 3
23/10/2018 , 19:43:27 , 3
23/10/2018 , 19:43:27 , 3
23/10/2018 , 19:43:37 , 3
23/10/2018 , 19:43:37 , 3
23/10/2018 , 19:43:47 , 4
23/10/2018 , 19:43:47 , 4
23/10/2018 , 19:43:57 , 3
23/10/2018 , 19:43:57 , 3
23/10/2018 , 19:44:07 , 2
23/10/2018 , 19:44:07 , 2
23/10/2018 , 19:44:17 , 3
23/10/2018 , 19:44:17 , 3
23/10/2018 , 19:44:27 , 4
23/10/2018 , 19:44:27 , 4
23/10/2018 , 19:44:37 , 4
23/10/2018 , 19:44:37 , 4
23/10/2018 , 19:44:47 , 4
23/10/2018 , 19:44:47 , 4
23/10/2018 , 19:44:57 , 3
23/10/2018 , 19:44:57 , 3
23/10/2018 , 19:45:07 , 5
23/10/2018 , 19:45:07 , 5
23/10/2018 , 19:45:17 , 5
23/10/2018 , 19:45:17 , 5
23/10/2018 , 19:45:27 , 3
23/10/2018 , 19:45:27 , 3
23/10/2018 , 19:45:37 , 3
23/10/2018 , 19:45:37 , 3
23/10/2018 , 19:45:47 , 3
23/10/2018 , 19:45:47 , 3
23/10/2018 , 19:45:57 , 3
23/10/2018 , 19:45:57 , 3
23/10/2018 , 19:46:07 , 3
23/10/2018 , 19:46:07 , 3
23/10/2018 , 19:46:17 , 2
23/10/2018 , 19:46:17 , 2
23/10/2018 , 19:46:27 , 2
23/10/2018 , 19:46:27 , 2
23/10/2018 , 19:46:37 , 4
23/10/2018 , 19:46:37 , 4
23/10/2018 , 19:46:47 , 2
23/10/2018 , 19:46:47 , 2
23/10/2018 , 19:46:57 , 1
23/10/2018 , 19:46:57 , 1
23/10/2018 , 19:47:07 , 0
23/10/2018 , 19:47:07 , 0
23/10/2018 , 19:47:17 , 0
23/10/2018 , 19:47:17 , 0
23/10/2018 , 19:47:27 , 2
23/10/2018 , 19:47:27 , 2
23/10/2018 , 19:47:37 , 2
23/10/2018 , 19:47:37 , 2
23/10/2018 , 19:47:47 , 3
23/10/2018 , 19:47:47 , 3
23/10/2018 , 19:47:57 , 1
23/10/2018 , 19:47:57 , 1
23/10/2018 , 19:48:07 , 1
23/10/2018 , 19:48:07 , 1
23/10/2018 , 19:48:17 , 1
23/10/2018 , 19:48:17 , 1
23/10/2018 , 19:48:27 , 1
23/10/2018 , 19:48:27 , 1
23/10/2018 , 19:48:37 , 0
23/10/2018 , 19:48:37 , 0
23/10/2018 , 19:48:47 , 0
23/10/2018 , 19:48:47 , 0
23/10/2018 , 19:48:57 , 0
23/10/2018 , 19:48:57 , 0
23/10/2018 , 19:49:07 , 0
23/10/2018 , 19:49:07 , 0
23/10/2018 , 19:49:17 , 2
23/10/2018 , 19:49:17 , 2
23/10/2018 , 19:49:27 , 2
23/10/2018 , 19:49:27 , 2
23/10/2018 , 19:49:37 , 1
23/10/2018 , 19:49:37 , 1
23/10/2018 , 19:49:47 , 0
23/10/2018 , 19:49:47 , 0
23/10/2018 , 19:49:57 , 0
23/10/2018 , 19:49:57 , 0
23/10/2018 , 19:50:07 , 0
23/10/2018 , 19:50:07 , 0
23/10/2018 , 19:50:17 , 0
23/10/2018 , 19:50:17 , 0
